angle,pitch,dist
0,60,1171
0,59,9740
0,58,9762
0,57,9741
0,56,9459
0,55,10655
0,54,10678
0,53,10675
0,52,10674
0,51,10702
0,50,10709
0,49,10696
0,48,10724
0,47,10708
0,46,3525
0,45,1316
0,44,1280
0,43,1237
0,42,1236
0,41,1211
0,40,1205
0,39,1187
0,38,1176
0,37,1166
0,36,1160
0,35,1149
0,34,1141
0,33,1152
0,32,1138
0,31,1138
0,30,1136
0,29,1136
0,28,1131
0,27,1110
0,26,1111
0,25,1111
0,24,1111
0,23,1110
0,22,1124
0,21,1114
0,20,1114
0,19,1114
0,18,1120
0,17,1117
0,16,1132
0,15,1120
0,14,1123
0,13,1123
0,12,1126
0,11,1132
0,10,1150
0,9,1160
0,8,1186
0,7,1202
0,6,1180
0,5,1171
0,4,1173
0,3,1177
0,2,1178
0,1,1181
1,0,1183
1,1,1184
1,2,1184
1,3,1181
1,4,1178
1,5,1173
1,6,1174
1,7,1172
1,8,1172
1,9,1194
1,10,1202
1,11,1157
1,12,1142
1,13,1138
1,14,1126
1,15,1123
1,16,1123
1,17,1120
1,18,1132
1,19,1121
1,20,1122
1,21,1114
1,22,1114
1,23,1111
1,24,1111
1,25,1111
1,26,1111
1,27,1115
1,28,1115
1,29,1110
1,30,1111
1,31,1115
1,32,1135
1,33,1135
1,34,1138
1,35,1138
1,36,1155
1,37,1145
1,38,1150
1,39,1152
1,40,1174
1,41,1176
1,42,1183
1,43,1200
1,44,1225
1,45,1232
1,46,1255
1,47,1279
1,48,4436
1,49,10750
1,50,10709
1,51,10728
1,52,10726
1,53,10688
1,54,10662
1,55,10674
1,56,10727
1,57,10372
1,58,10369
1,59,9786
2,60,10453
2,59,9127
2,58,8811
2,57,9467
2,56,9147
2,55,10663
2,54,10630
2,53,10367
2,52,10657
2,51,10683
2,50,10658
2,49,10706
2,48,10697
2,47,10689
2,46,10705
2,45,2067
2,44,1283
2,43,1242
2,42,1222
2,41,1211
2,40,1179
2,39,1180
2,38,1170
2,37,1148
2,36,1150
2,35,1146
2,34,1143
2,33,1138
2,32,1138
2,31,1136
2,30,1131
2,29,1111
2,28,1115
2,27,1130
2,26,1133
2,25,1135
2,24,1118
2,23,1110
2,22,1111
2,21,1111
